Device_ID,TTL_hours,battery_capacity_mah,avg_power_W,max_Tb_C,ratio_idle,ratio_social,ratio_video,ratio_game,signal_strength_avg,background_app_usage_level,avg_screen_on_hours_per_day,gaming_hours_per_week,video_streaming_hours_per_week,device_age_months,avg_charging_cycles_per_week,avg_battery_temp_celsius,fast_charging_usage_percent,overnight_charging_freq_per_week,SOH_est,aging_loss_est,n_cycles_est,lambda_eff_est
207dd94c-0430-43aa-b388-4893447e628e,3.613333,4500.0,1.352008,39.804098,0.70416667,0.16547619,0.08333333,0.04702381,Poor,Medium,7.1,7.9,14.0,38.0,11.4,34.8,90.8,7.0,0.30923241,0.69076759,1882.254,0.0006235408
3f4d1d33-ba89-4814-a168-7b4cc75be26b,5.845556,3000.0,0.825334,35.43752,0.71666667,0.16666667,0.06547619,0.05119048,Good,Medium,6.8,8.6,11.0,28.0,10.3,35.4,60.6,2.0,0.45813828,0.54186172,1253.098,0.0006229235
b4adca05-564f-4b70-ab69-e8d66e656463,8.135833,3000.0,0.916606,36.135307,0.7,0.23690476,0.06130952,0.00178571,Good,Medium,7.2,0.3,10.3,14.0,11.2,29.4,29.3,4.0,0.70810794,0.29189206,681.296,0.0005066208
4147e039-31b7-480a-bbc9-03cd0f66e9f1,5.199167,3000.0,0.843681,36.004139,0.77083333,0.18869048,0.02916667,0.01130952,Good,Medium,5.5,1.9,4.9,42.0,8.3,32.8,62.5,0.0,0.41653182,0.58346818,1514.667,0.0005782079
3f9b0fb7-73c2-4ab7-8e30-7b492097a3f5,8.88,3000.0,0.929799,39.012435,0.68333333,0.21428571,0.05535714,0.04702381,Good,High,7.6,7.9,9.3,7.0,11.6,38.7,85.4,6.0,0.78401449,0.21598551,352.814,0.0006896772
64eaa3cb-07b0-4854-9855-c79ff9a0e947,9.750556,4000.0,0.907343,39.00389,0.69166667,0.23988095,0.02440476,0.04404762,Good,Medium,7.4,7.4,4.1,20.0,10.1,30.7,20.9,2.0,0.63010015,0.36989985,877.69,0.000526241
17bdd56a-0027-4c84-a2ca-b81a024b59fb,2.898056,3000.0,1.192512,38.94434,0.675,0.21309524,0.07142857,0.04047619,Good,Medium,7.8,6.8,12.0,38.0,11.8,32.7,50.2,4.0,0.32814086,0.67185914,1948.298,0.0005719414
dc6f0ab4-53b2-4a59-b2d1-8ef2c6b9b54a,14.408056,5000.0,0.868917,38.888733,0.82083333,0.07797619,0.06964286,0.03154762,Good,Low,4.3,5.3,11.7,18.0,7.8,32.5,10.5,6.0,0.71328409,0.28671591,610.038,0.0005538598
d755e272-ed5f-4d24-b6f4-e95fa32542b2,5.1375,3000.0,1.004641,38.94371,0.68333333,0.17619048,0.06488095,0.07559524,Good,Medium,7.6,12.7,10.9,22.0,11.5,37.4,35.7,0.0,0.49011544,0.50988456,1099.285,0.0006487074
6feb6a06-c9af-4bf9-a062-561d129d4dbd,15.993056,4500.0,0.848406,38.943709,0.8125,0.06011905,0.09642857,0.03095238,Good,Medium,4.5,5.2,16.2,10.0,5.9,33.3,78.7,0.0,0.85899567,0.14100433,256.355,0.0005928942
d9db8a78-5f06-4446-ae6c-fd84682b3549,18.311667,5000.0,0.776077,38.902538,0.78333333,0.1125,0.08333333,0.02083333,Good,Low,5.2,3.5,14.0,10.0,9.3,30.6,15.1,1.0,0.80971003,0.19028997,404.085,0.0005223631
1e31feb9-6327-4af6-b905-d08308f6e332,10.927778,4500.0,0.915903,35.468626,0.7875,0.08690476,0.12142857,0.00416667,Good,Low,5.1,0.7,20.4,23.0,8.4,30.7,68.0,4.0,0.63363386,0.36636614,839.454,0.0005435485
170e6dcb-239c-4297-9c4b-095a9335d9c4,15.787222,4500.0,0.628428,39.245416,0.85416667,0.0327381,0.08869048,0.02440476,Moderate,Medium,3.5,4.1,14.9,35.0,6.0,29.2,47.2,1.0,0.62808463,0.37191537,912.45,0.000509705
ba711972-e5ad-40cd-9bf8-eb2d89c1cbda,17.03,4000.0,0.577578,35.853712,0.91666667,0.0047619,0.06428571,0.01428571,Moderate,Low,2.0,2.4,10.8,39.0,3.8,31.8,40.8,5.0,0.70051272,0.29948728,643.929,0.0005527671
fe6d9afd-ccf1-41ea-9361-23a2287cc32b,6.5975,4000.0,1.204508,39.756831,0.67083333,0.25952381,0.05059524,0.01904762,Moderate,Low,7.9,3.2,8.5,23.0,10.8,30.7,24.2,6.0,0.56593294,0.43406706,1079.298,0.0005274537
d8ea4195-cb99-462b-88aa-9101a25bc8d2,18.533611,4500.0,0.826293,39.24546,0.82916667,0.11011905,0.0172619,0.04345238,Moderate,Medium,4.1,7.3,2.9,2.0,6.8,29.5,73.0,7.0,0.96948589,0.03051411,59.092,0.0005244256
c8f6bb96-ab2b-4eab-b2fb-24ec4c07b166,11.568333,4500.0,0.883224,39.314079,0.79166667,0.07380952,0.10059524,0.03392857,Moderate,High,5.0,5.7,16.9,21.0,8.8,31.1,46.3,6.0,0.64684222,0.35315778,802.956,0.0005425613
76b51a54-b8d5-46e7-af6c-41d40d65bbd8,9.416944,3000.0,1.103868,39.900506,0.83333333,0.05952381,0.07678571,0.03035714,Good,Low,4.0,5.1,12.9,1.0,5.6,30.6,50.4,7.0,0.98705871,0.01294129,24.332,0.0005353345
de650544-a95b-4156-9101-ff0257e6a1eb,15.728056,5000.0,0.803488,39.245347,0.79166667,0.14702381,0.04583333,0.01547619,Moderate,Medium,5.0,2.6,7.7,23.0,5.6,33.9,33.9,0.0,0.72003383,0.27996617,559.636,0.000586912
8cb2dc04-cac9-4345-b3fa-47bae1236ad7,6.748889,3000.0,0.808255,38.889763,0.8125,0.0922619,0.06845238,0.02678571,Good,Low,4.5,4.5,11.5,43.0,7.1,29.1,14.5,6.0,0.51794739,0.48205261,1326.5285,0.0004959423
fcb5a4f1-c3e4-468d-8edd-7f0b2a1f36d8,3.833333,4000.0,1.428418,39.143966,0.6625,0.18154762,0.06369048,0.0922619,Good,High,8.1,15.5,10.7,29.0,12.1,35.3,51.0,2.0,0.38996225,0.61003775,1524.6605,0.0006176492
cb75865b-8404-474d-967d-9eb59ace50f8,8.425556,4000.0,1.04936,39.328111,0.82083333,0.07678571,0.05654762,0.04583333,Moderate,High,4.3,7.7,9.5,37.0,4.9,33.6,49.1,2.0,0.62963744,0.37036256,787.7485,0.0005872574
198cfa31-2215-4574-9b36-7d8effef5319,9.931944,3000.0,1.023405,37.190334,0.62916667,0.27083333,0.08690476,0.01309524,Poor,Medium,8.9,2.2,14.6,1.0,14.0,32.9,68.0,2.0,0.96521773,0.03478227,60.83,0.0005819756
e1facb73-eabf-4b73-83dd-a30b346ba2ad,7.600278,5000.0,1.20389,39.589133,0.675,0.29047619,0.01369048,0.02083333,Good,High,7.8,3.5,2.3,20.0,12.2,34.9,61.3,4.0,0.52130251,0.47869749,1060.18,0.0006144473
ece1a29f-a6b6-404d-8c89-6011890a10bc,10.219444,4500.0,1.002019,36.002347,0.80833333,0.08154762,0.08511905,0.025,Moderate,Medium,4.6,4.2,14.3,32.0,5.4,32.9,55.3,7.0,0.64826694,0.35173306,750.816,0.0005773088
d15ec172-39aa-421b-899f-9039c702948a,8.123611,3000.0,0.943648,36.599408,0.74583333,0.13690476,0.09880952,0.01845238,Moderate,Medium,6.1,3.1,16.6,11.0,11.1,33.3,94.4,3.0,0.72788982,0.27211018,530.5245,0.0005986634
42267e4e-e29a-45cb-a76b-93cf5f0b7d7b,7.105556,4000.0,1.112752,39.198361,0.72916667,0.16904762,0.02619048,0.07559524,Moderate,Low,6.5,12.7,4.4,21.0,10.6,33.5,71.5,5.0,0.56311842,0.43688158,967.197,0.0005937419
204c455c-eca6-4532-bf48-d52171eca5e7,7.993333,5000.0,0.859924,33.38718,0.7,0.27857143,0.00119048,0.0202381,Moderate,Medium,7.2,3.4,0.2,43.0,8.9,33.0,13.7,5.0,0.39162405,0.60837595,1662.8315,0.0005637691
